ligand_symbol	receptor_symbol	family	directionality	weight	notes
# --- Checkpoints / inhibitory ---
CD274	PDCD1	checkpoint	L->R	1.0	PD-L1 -> PD-1
PDCD1LG2	PDCD1	checkpoint	L->R	1.0	PD-L2 -> PD-1
CD80	CTLA4	checkpoint	L->R	1.0	CD80 -> CTLA4
CD86	CTLA4	checkpoint	L->R	1.0	CD86 -> CTLA4
LGALS9	HAVCR2	checkpoint	L->R	1.0	Gal-9 -> TIM3
PVR	TIGIT	checkpoint	L->R	1.0	PVR -> TIGIT
NECTIN2	TIGIT	checkpoint	L->R	1.0	NECTIN2 -> TIGIT
CD48	CD244	checkpoint	L->R	1.0	CD48 -> 2B4
CLEC2D	KLRB1	checkpoint	L->R	1.0	CLEC2D -> CD161
HLAE	KLRC1	checkpoint	L->R	1.0	HLA-E -> NKG2A
TNFRSF14	BTLA	checkpoint	L->R	1.0	HVEM -> BTLA
TNFSF14	TNFRSF14	checkpoint	L->R	1.0	LIGHT -> HVEM

# --- Immunosuppressive / tolerogenic cytokines ---
TGFB1	TGFBR1	TGFb	L->R	1.0
TGFB1	TGFBR2	TGFb	L->R	1.0
TGFB2	TGFBR1	TGFb	L->R	1.0
TGFB2	TGFBR2	TGFb	L->R	1.0
TGFB3	TGFBR1	TGFb	L->R	1.0
TGFB3	TGFBR2	TGFb	L->R	1.0
IL10	IL10RA	IL10	L->R	1.0	requires IL10RB
IL10	IL10RB	IL10	L->R	1.0
IL6	IL6R	IL6_family	L->R	1.0	requires IL6ST
IL6	IL6ST	IL6_family	L->R	1.0
IL11	IL11RA	IL6_family	L->R	1.0	requires IL6ST
IL11	IL6ST	IL6_family	L->R	1.0
OSM	OSMR	IL6_family	L->R	1.0	requires IL6ST
OSM	IL6ST	IL6_family	L->R	1.0
LIF	LIFR	IL6_family	L->R	1.0	requires IL6ST
LIF	IL6ST	IL6_family	L->R	1.0
IL27A	IL27RA	IL12_like	L->R	1.0	IL27A+EBI3 heterodimer; receptor uses IL6ST
IL27A	IL6ST	IL12_like	L->R	1.0

# --- Pro-inflammatory / stress ---
TNF	TNFRSF1A	TNF	L->R	1.0
TNF	TNFRSF1B	TNF	L->R	1.0
LTA	TNFRSF1A	TNF	L->R	1.0
LTA	TNFRSF1B	TNF	L->R	1.0
IL1A	IL1R1	IL1	L->R	1.0
IL1B	IL1R1	IL1	L->R	1.0
IL33	IL1RL1	IL1	L->R	1.0
IFNG	IFNGR1	IFN	L->R	1.0	requires IFNGR2
IFNG	IFNGR2	IFN	L->R	1.0
IFNA1	IFNAR1	IFN	L->R	1.0	requires IFNAR2
IFNA1	IFNAR2	IFN	L->R	1.0
IFNB1	IFNAR1	IFN	L->R	1.0
IFNB1	IFNAR2	IFN	L->R	1.0

# --- T cell growth / maintenance (contextual) ---
IL2	IL2RA	IL2	L->R	1.0	IL2R complex (IL2RB/IL2RG core)
IL2	IL2RB	IL2	L->R	1.0
IL2	IL2RG	IL2	L->R	1.0
IL15	IL15RA	IL15	L->R	1.0	IL15R complex (IL2RB/IL2RG)
IL15	IL2RB	IL15	L->R	1.0
IL15	IL2RG	IL15	L->R	1.0

# --- Chemokines (T/NK) ---
CXCL9	CXCR3	chemokine	L->R	1.0
CXCL10	CXCR3	chemokine	L->R	1.0
CXCL11	CXCR3	chemokine	L->R	1.0
CCL5	CCR5	chemokine	L->R	1.0
CCL3	CCR5	chemokine	L->R	1.0
CCL4	CCR5	chemokine	L->R	1.0
CCL19	CCR7	chemokine	L->R	1.0
CCL21	CCR7	chemokine	L->R	1.0
CXCL12	CXCR4	chemokine	L->R	1.0
CXCL12	ACKR3	chemokine	L->R	1.0
CXCL13	CXCR5	chemokine	L->R	1.0
CXCL16	CXCR6	chemokine	L->R	1.0
XCL1	XCR1	chemokine	L->R	1.0

